Year,GeoCode,Value
2019,860645.0,0.0075
2019,860646.0,0.0083
2019,860647.0,0.0072
2019,860648.0,0.0072
2019,860649.0,0.0075
2019,860650.0,0.0078
2019,860651.0,0.0065
2019,860652.0,0.0064
2019,860653.0,0.0074
2019,860654.0,0.006
2019,860655.0,0.0067
2019,860656.0,0.0071
2019,860657.0,0.0065
2019,860658.0,0.0061
2019,860659.0,0.0063
2019,860660.0,0.0057
2019,860661.0,0.0061
2019,860662.0,0.0055
2019,860663.0,0.0055
2019,860664.0,0.0055
2019,860665.0,0.006
2019,860666.0,0.0062
2019,860667.0,0.0061
2019,860668.0,0.006
2019,860669.0,0.0057
2019,860670.0,0.0053
2019,860671.0,0.0062
2019,860672.0,0.0062
2019,860673.0,0.0056
2019,860674.0,0.0054
2019,860675.0,0.0058
2019,860676.0,0.0082
2019,860677.0,0.0073
2019,860678.0,0.0072
2019,860679.0,0.0086
2019,860680.0,0.0084
2019,860681.0,0.0084
2019,860682.0,0.0062
2019,860683.0,0.0063
2019,860684.0,0.0062
2019,860685.0,0.0058
2019,860686.0,0.0061
2019,860687.0,0.0056
2019,860688.0,0.006999999999999999
2019,860689.0,0.0058
2019,860690.0,0.0069
2019,860691.0,0.0073
2019,860692.0,0.0063
2019,860693.0,0.0069
2019,860694.0,0.0059
2019,860695.0,0.0058
2019,860696.0,0.0065
2019,860697.0,0.0061
2019,860698.0,0.0059
2019,860699.0,0.0069
2019,860700.0,0.0054
2019,860701.0,0.0053
2019,860702.0,0.0056
2019,860703.0,0.0093
2019,860704.0,0.0093
2019,860705.0,0.0091
2019,860706.0,0.0088
2019,860707.0,0.0086
2019,860708.0,0.008
2019,860709.0,0.0087
2019,860710.0,0.0096
2019,860711.0,0.0097
2019,860712.0,0.0103
2019,860713.0,0.0099
2019,860714.0,0.0102
2019,860715.0,0.009000000000000001
2019,860716.0,0.0098
2019,860717.0,0.0093
2019,860718.0,0.0101
2019,860719.0,0.0097
2019,860720.0,0.01
2019,860721.0,0.0098
2019,860722.0,0.0098
2019,860723.0,0.0105
2019,860724.0,0.0117
2019,860725.0,0.0118
2019,860726.0,0.0105
2019,860727.0,0.0108
2019,860728.0,0.0113
2019,860729.0,0.0113
2019,860730.0,0.008
2019,860731.0,0.0072
2019,860732.0,0.0074
2019,860733.0,0.008
2019,860734.0,0.0084
2019,860735.0,0.0079
2019,860736.0,0.0083
2019,860737.0,0.0082
2019,860738.0,0.0083
2019,860739.0,0.0077
2019,860740.0,0.0074
2019,860741.0,0.0067
2019,860742.0,0.006999999999999999
2019,860743.0,0.0063
2019,860744.0,0.0066
2019,860745.0,0.0058
2019,860746.0,0.0058
2019,860747.0,0.006999999999999999
2019,860748.0,0.0076
2019,860749.0,0.0073
2019,860750.0,0.0062
2019,860751.0,0.0103
2019,860752.0,0.0116
2019,860753.0,0.0091
2019,860754.0,0.0097
2019,860755.0,0.0098
2019,860756.0,0.0095
2019,860757.0,0.0082
2019,860758.0,0.0078
2019,860759.0,0.0092
2019,860760.0,0.0076
2019,860761.0,0.0067
2019,860762.0,0.0074
2019,860763.0,0.0085
2019,860764.0,0.0093
2019,860765.0,0.0097
2019,860766.0,0.0086
2019,860767.0,0.0071
2019,860768.0,0.0074
2019,860769.0,0.0085
2019,860770.0,0.0071
2019,860771.0,0.0056
2019,860772.0,0.0074
2019,860773.0,0.0072
2019,860774.0,0.0061
2019,860775.0,0.0053
2019,,0.0076
2018,860725.0,0.0121
2018,860724.0,0.0119
2018,860729.0,0.0116
2018,860752.0,0.0116
2018,860728.0,0.0116
2018,860727.0,0.0111
2018,860726.0,0.0108
2018,860723.0,0.0106
2018,860712.0,0.0104
2018,860751.0,0.0103
2018,860714.0,0.0103
2018,860720.0,0.0103
2018,860722.0,0.0102
2018,860713.0,0.0101
2018,860716.0,0.0101
2018,860718.0,0.0101
2018,860721.0,0.01
2018,860765.0,0.0099
2018,860719.0,0.0099
2018,860711.0,0.0098
2018,860710.0,0.0098
2018,860755.0,0.0098
2018,860754.0,0.0098
2018,860764.0,0.0096
2018,860717.0,0.0096
2018,860704.0,0.0094
2018,860703.0,0.0094
2018,860705.0,0.0093
2018,860760.0,0.0092
2018,860715.0,0.0092
2018,860753.0,0.0091
2018,860679.0,0.009000000000000001
2018,860706.0,0.0089
2018,860709.0,0.0089
2018,860756.0,0.0089
2018,860766.0,0.0088
2018,860769.0,0.0088
2018,860763.0,0.0088
2018,860681.0,0.0088
2018,860707.0,0.0088
2018,860680.0,0.0087
2018,860646.0,0.0086
2018,860676.0,0.0086
2018,860734.0,0.0086
2018,860738.0,0.0085
2018,860737.0,0.0084
2018,860736.0,0.0084
2018,860757.0,0.0083
2018,860708.0,0.0082
2018,860735.0,0.0081
2018,860733.0,0.0081
2018,860759.0,0.008
2018,860650.0,0.0079
2018,860730.0,0.0079
2018,860649.0,0.0079
2018,860647.0,0.0078
2018,860645.0,0.0078
2018,860739.0,0.0078
2018,860748.0,0.0078
2018,860768.0,0.0077
2018,860772.0,0.0077
2018,860677.0,0.0076
2018,860678.0,0.0076
2018,860653.0,0.0076
2018,860740.0,0.0076
2018,860732.0,0.0075
2018,860691.0,0.0075
2018,860648.0,0.0075
2018,860773.0,0.0075
2018,860656.0,0.0074
2018,860749.0,0.0074
2018,860731.0,0.0073
2018,860770.0,0.0073
2018,860767.0,0.0073
2018,860688.0,0.0072
2018,860747.0,0.0072
2018,860693.0,0.0071
2018,860699.0,0.0071
2018,860690.0,0.006999999999999999
2018,860741.0,0.006999999999999999
2018,860742.0,0.006999999999999999
2018,860655.0,0.0069
2018,860657.0,0.0068
2018,860651.0,0.0067
2018,860652.0,0.0067
2018,860744.0,0.0067
2018,860696.0,0.0066
2018,860743.0,0.0066
2018,860672.0,0.0065
2018,860692.0,0.0064
2018,860671.0,0.0064
2018,860666.0,0.0064
2018,860683.0,0.0064
2018,860682.0,0.0063
2018,860684.0,0.0063
2018,860750.0,0.0063
2018,860659.0,0.0063
2018,860774.0,0.0062
2018,860667.0,0.0062
2018,860697.0,0.0062
2018,860686.0,0.0062
2018,860654.0,0.0062
2018,860668.0,0.0062
2018,860658.0,0.0062
2018,860665.0,0.0062
2018,860661.0,0.0061
2018,860689.0,0.006
2018,860698.0,0.006
2018,860694.0,0.006
2018,860746.0,0.006
2018,860745.0,0.006
2018,860695.0,0.0059
2018,860685.0,0.0059
2018,860675.0,0.0059
2018,860687.0,0.0058
2018,860771.0,0.0058
2018,860669.0,0.0058
2018,860673.0,0.0057
2018,860660.0,0.0057
2018,860702.0,0.0057
2018,860662.0,0.0056
2018,860664.0,0.0056
2018,860674.0,0.0055
2018,860663.0,0.0055
2018,860701.0,0.0055
2018,860670.0,0.0054
2018,860700.0,0.0054
2018,860775.0,0.0054
2018,,0.0078
